Date,Value
2016-10-31,123909824803203.0
2016-11-30,124110500933170.0
2016-12-31,121129826856682.0
2017-01-31,122132905022139.0
2017-02-28,123374776766055.0
2017-03-31,128478385225591.0
2017-04-30,125355172335953.0
2017-05-31,127247001921317.0
2017-06-30,127265828113950.0
2017-07-31,128536959489702.0
2017-08-31,128341865361923.0
2017-09-30,130073715963512.0
2017-10-31,132197619994676.0
2017-11-30,132768288399563.0
2017-12-31,133545395478724.0
2018-01-31,134790110263904.0
2018-02-28,135571031419267.0
2018-03-31,136812345921712.0
2018-04-30,138004026303536.98
2018-05-31,139364909734941.98
2018-06-30,139899098837158.98
2018-07-31,141059821187922.0
2018-08-31,142482546389543.0
2018-09-30,143072280452801.0
2018-10-31,144237235873487.0
2018-11-30,145700584878848.0
2018-12-31,146430436859890.0
