observation_date,MABMM301INM189S
1999-07-01,10237874767365.900391
1999-08-01,10350816240312.199219
1999-09-01,10505256019315.099609
1999-10-01,10629836999276.400391
1999-11-01,10727453245363.300781
1999-12-01,11033523147776.800781
2000-01-01,11022491575315.400391
2000-02-01,11192559989954.500000
2000-03-01,11254909572278.900391
2000-04-01,11401760127288.099609
2000-05-01,11506479343980.000000
2000-06-01,11683525678711.099609
2000-07-01,11779386763397.099609
2000-08-01,11884375314169.400391
2000-09-01,12050130648168.800781
2000-10-01,12244842455483.900391
2000-11-01,12565739605462.699219
2000-12-01,12805273484735.900391
2001-01-01,12859647045157.300781
2001-02-01,12996734312498.000000
2001-03-01,13153322499695.900391
2001-04-01,13337047259930.599609
2001-05-01,13568015955078.900391
2001-06-01,13733304242246.199219
2001-07-01,13870672418057.099609
2001-08-01,14006906272913.400391
2001-09-01,14117356902288.800781
2001-10-01,14230938082949.599609
2001-11-01,14441344055481.000000
2001-12-01,14598007366851.699219
2002-01-01,14695061787171.599609
2002-02-01,14841183736724.500000
2002-03-01,14996558254575.000000
2002-04-01,15215097144420.400391
2002-05-01,15902782703289.400391
2002-06-01,15968864934103.199219
2002-07-01,16136207347446.900391
2002-08-01,16324742842296.199219
2002-09-01,16459600363847.501953
2002-10-01,16622661832869.300781
2002-11-01,16810987804302.599609
2002-12-01,16933314450596.500000
2003-01-01,17075952581380.000000
2003-02-01,17175408776159.398438
2003-03-01,17163520801788.400391
2003-04-01,17443291247447.599609
2003-05-01,17686357747246.500000
2003-06-01,17903837161509.398438
2003-07-01,18073442017583.601562
2003-08-01,18201439838216.800781
2003-09-01,18370431493433.703125
2003-10-01,18693747838572.398438
2003-11-01,18854210953043.500000
2003-12-01,19108940937707.199219
2004-01-01,19391112613334.601562
2004-02-01,19695782499388.601562
2004-03-01,19990387356169.203125
2004-04-01,20256707582439.800781
2004-05-01,20391326815500.500000
2004-06-01,20527192171001.300781
2004-07-01,20642975322920.199219
2004-08-01,20842384588142.000000
2004-09-01,20930554910543.000000
2004-10-01,21191706872737.601562
2004-11-01,21331365494671.898438
2004-12-01,21639380205478.398438
2005-01-01,22255464625038.601562
2005-02-01,22240274429127.101562
2005-03-01,22327260333995.398438
2005-04-01,22938537913141.000000
2005-05-01,23119425516523.398438
2005-06-01,23385430669807.300781
2005-07-01,23613742049543.796875
2005-08-01,23872931278087.101562
2005-09-01,24704715914416.199219
2005-10-01,24788172079254.699219
2005-11-01,25059417179033.296875
2005-12-01,25417947389353.601562
2006-01-01,25433711652434.101562
2006-02-01,25755813742167.398438
2006-03-01,26988208203017.300781
2006-04-01,27196423994830.101562
2006-05-01,27493399523487.101562
2006-06-01,27691506988957.898438
2006-07-01,28302230800423.898438
2006-08-01,28889997890737.601562
2006-09-01,29405013893710.601562
2006-10-01,29471092575451.800781
2006-11-01,30028306911401.703125
2006-12-01,30407121340196.000000
2007-01-01,30898773877976.398438
2007-02-01,31454609341200.199219
2007-03-01,32801614259855.398438
2007-04-01,32572571800108.800781
2007-05-01,32958978434890.800781
2007-06-01,33792265889510.496094
2007-07-01,34565617945037.300781
2007-08-01,34923494192543.398438
2007-09-01,35847238114963.195312
2007-10-01,36278316454959.195312
2007-11-01,37058460488424.703125
2007-12-01,37501817939986.804688
2008-01-01,38291142220211.906250
2008-02-01,38884940485486.703125
2008-03-01,39797695353738.093750
2008-04-01,39806955680120.093750
2008-05-01,40623726064412.703125
2008-06-01,41082401290248.804688
2008-07-01,41427941081901.000000
2008-08-01,42370431700859.000000
2008-09-01,42891398571848.796875
2008-10-01,43715847493357.101562
2008-11-01,44187812406801.000000
2008-12-01,44957651478156.796875
2009-01-01,46017277039870.703125
2009-02-01,46722529834265.000000
2009-03-01,47511973199334.703125
2009-04-01,48361916584213.195312
2009-05-01,49098973152544.000000
2009-06-01,49609022328059.398438
2009-07-01,50344230451790.796875
2009-08-01,50781832271646.804688
2009-09-01,51383575725709.195312
2009-10-01,51960533532977.507812
2009-11-01,52660403283105.398438
2009-12-01,52991658117505.695312
2010-01-01,53982229067332.195312
2010-02-01,54696047015300.398438
2010-03-01,55591635737915.101562
2010-04-01,55737257187882.304688
2010-05-01,56542941734571.406250
2010-06-01,57114278536229.296875
2010-07-01,58200567161085.695312
2010-08-01,58689960108555.000000
2010-09-01,59313342766141.085938
2010-10-01,60948055386212.796875
2010-11-01,61269948703242.914062
2010-12-01,62761968314193.507812
2011-01-01,62888158974143.906250
2011-02-01,63861810998824.085938
2011-03-01,64654238499047.507812
2011-04-01,65611979407453.195312
2011-05-01,66167887251197.593750
2011-06-01,66941396351946.398438
2011-07-01,67872620704596.914062
2011-08-01,68673967799289.890625
2011-09-01,69268994856129.085938
2011-10-01,70008747903741.398438
2011-11-01,70674876892024.296875
2011-12-01,72609844697117.890625
2012-01-01,72145138279190.203125
2012-02-01,72829171564744.796875
2012-03-01,73297697795824.984375
2012-04-01,74262962652191.296875
2012-05-01,75089834866729.906250
2012-06-01,77317989244423.109375
2012-07-01,77180016850137.609375
2012-08-01,78184191116136.796875
2012-09-01,78577650724944.890625
2012-10-01,79199579187243.109375
2012-11-01,80057681310758.093750
2012-12-01,80692471349283.609375
2013-01-01,81550714393754.000000
2013-02-01,82077831017230.500000
2013-03-01,83638066875810.890625
2013-04-01,83834345428117.796875
2013-05-01,85740421581726.203125
2013-06-01,87189479554005.500000
2013-07-01,87109056062352.703125
2013-08-01,87724039767123.390625
2013-09-01,89022258954077.593750
2013-10-01,89686412562428.406250
2013-11-01,91696472460874.203125
2013-12-01,92452322070231.109375
2014-01-01,93360217033695.812500
2014-02-01,94010011702282.000000
2014-03-01,94489592247323.593750
2014-04-01,95769780666375.109375
2014-05-01,96409446040677.296875
2014-06-01,97138891979564.093750
2014-07-01,98194147972179.593750
2014-08-01,99215713432845.593750
2014-09-01,99985428550857.796875
2014-10-01,101326997682881.000000
2014-11-01,102355118181743.000000
2014-12-01,102963867396926.000000
2015-01-01,103853618461412.000000
2015-02-01,104528742491043.000000
2015-03-01,105734071521936.000000
2015-04-01,106250628087957.000000
2015-05-01,107380527975896.000000
2015-06-01,108994605835558.000000
2015-07-01,109203569098713.000000
2015-08-01,110379628506298.000000
2015-09-01,111006871832826.000000
2015-10-01,111677250304040.000000
2015-11-01,112794822151551.000000
2015-12-01,113963267978682.000000
2016-01-01,114945544378944.000000
2016-02-01,116151283222961.000000
2016-03-01,116338193745385.000000
2016-04-01,118599380484073.000000
2016-05-01,118288596427388.000000
2016-06-01,118609578590814.000000
2016-07-01,120343621069027.000000
2016-08-01,121644562721401.000000
2016-09-01,123094748723676.000000
2016-10-01,123909824803203.000000
2016-11-01,124110500933170.000000
2016-12-01,121129826856682.000000
2017-01-01,122132905022139.000000
2017-02-01,123374776766055.000000
2017-03-01,128478385225591.000000
2017-04-01,125355172335953.000000
2017-05-01,127247001921317.000000
2017-06-01,127265828113950.000000
2017-07-01,128536959489702.000000
2017-08-01,128341865361923.000000
2017-09-01,130073715963512.000000
2017-10-01,132197619994676.000000
2017-11-01,132768288399563.000000
2017-12-01,133545395478724.000000
2018-01-01,134790110263904.000000
2018-02-01,135571031419267.000000
2018-03-01,136812345921712.000000
2018-04-01,138004026303536.984375
2018-05-01,139364909734941.984375
2018-06-01,139899098837158.984375
2018-07-01,141059821187922.000000
2018-08-01,142482546389543.000000
2018-09-01,143072280452801.000000
2018-10-01,144237235873487.000000
2018-11-01,145700584878848.000000
2018-12-01,146430436859890.000000
